State,State Code,Priority,Total Districts,Algorithmic MM,Enacted MM,Deficit,Retrogression
Alabama,A,CRITICAL,7,0,2,2,YES
Mississippi,M,CRITICAL,4,1,1,0,NO
Louisiana,L,CRITICAL,6,3,2,-1,NO
Georgia,G,CRITICAL,14,9,5,-4,NO
Florida,F,HIGH,28,9,0,-9,NO
Texas,T,HIGH,38,30,18,-12,NO
Virginia,V,MEDIUM,11,0,0,0,NO
Illinois,I,MEDIUM,17,1,0,-1,NO
Maryland,M,MEDIUM,8,7,3,-4,NO
California,C,MEDIUM,52,51,24,-27,NO
North_Carolina,,LOW,14,0,3,3,YES
Arizona,A,LOW,9,1,3,2,YES
South_Carolina,,LOW,7,0,2,2,YES
Delaware,D,LOW,1,0,1,1,YES
Alaska,A,LOW,1,0,0,0,NO
Arkansas,A,LOW,4,0,0,0,NO
Colorado,C,LOW,8,0,0,0,NO
Connecticut,C,LOW,5,0,0,0,NO
Hawaii,H,LOW,2,2,2,0,NO
Idaho,I,LOW,2,0,0,0,NO
Indiana,I,LOW,9,0,0,0,NO
Iowa,I,LOW,4,0,0,0,NO
Kansas,K,LOW,4,0,0,0,NO
Kentucky,K,LOW,6,0,0,0,NO
Maine,M,LOW,2,0,0,0,NO
Massachusetts,M,LOW,9,0,0,0,NO
Michigan,M,LOW,13,0,0,0,NO
Minnesota,M,LOW,8,0,0,0,NO
Missouri,M,LOW,8,0,0,0,NO
Montana,M,LOW,2,0,0,0,NO
Nebraska,N,LOW,3,0,0,0,NO
New_Hampshire,,LOW,2,0,0,0,NO
New_Mexico,,LOW,3,2,2,0,NO
North_Dakota,,LOW,1,0,0,0,NO
Ohio,O,LOW,15,0,0,0,NO
Oklahoma,O,LOW,5,0,0,0,NO
Oregon,O,LOW,6,0,0,0,NO
Pennsylvania,P,LOW,17,0,0,0,NO
Rhode_Island,,LOW,2,0,0,0,NO
South_Dakota,,LOW,1,0,0,0,NO
Tennessee,T,LOW,9,0,0,0,NO
Utah,U,LOW,4,0,0,0,NO
Vermont,V,LOW,1,0,0,0,NO
Washington,W,LOW,10,0,0,0,NO
West_Virginia,,LOW,2,0,0,0,NO
Wisconsin,W,LOW,8,0,0,0,NO
Wyoming,W,LOW,1,0,0,0,NO
Nevada,N,LOW,4,4,0,-4,NO
New_Jersey,,LOW,12,7,0,-7,NO
New_York,,LOW,26,10,0,-10,NO
