state,method,total_tracts_2010,total_tracts_2020,common_tracts,tract_coverage_2010,tract_coverage_2020,reassigned_tracts,reassignment_rate,total_pop,reassigned_pop,pop_disruption_rate,avg_district_disruption,num_districts
alabama,true_recursive,1181,1437,936,0.7925486875529213,0.651356993736952,643,0.686965811965812,3153791,2152312,0.6824523248369978,0.6816589167150061,7
alabama,nway,1181,1437,936,0.7925486875529213,0.651356993736952,642,0.6858974358974359,3153791,2163329,0.685945581048332,0.6844860329196463,7
georgia,true_recursive,1969,2796,1260,0.6399187404773997,0.45064377682403434,993,0.7880952380952381,4647393,3743891,0.8055894993171441,0.809468152795111,14
georgia,nway,1969,2796,1260,0.6399187404773997,0.45064377682403434,1000,0.7936507936507936,4647393,3728201,0.8022134129822892,0.8013122880458525,14
louisiana,true_recursive,1148,1388,874,0.7613240418118467,0.6296829971181557,626,0.7162471395881007,2835696,2112221,0.7448686318984827,0.7441833246655439,6
louisiana,nway,1148,1388,874,0.7613240418118467,0.6296829971181557,616,0.7048054919908466,2835696,2166098,0.7638682002584198,0.7649109760420653,6
mississippi,true_recursive,664,878,459,0.6912650602409639,0.5227790432801822,292,0.6361655773420479,1669220,1037784,0.6217179281340985,0.6212114769743293,4
mississippi,nway,664,878,459,0.6912650602409639,0.5227790432801822,291,0.6339869281045751,1669220,1055903,0.6325726986257054,0.6334934016231184,4
south_carolina,true_recursive,1103,1323,894,0.8105167724388033,0.6757369614512472,654,0.7315436241610739,3284928,2379533,0.7243790427065677,0.7246259762213628,7
south_carolina,nway,1103,1323,894,0.8105167724388033,0.6757369614512472,664,0.7427293064876958,3284928,2417461,0.7359251100785161,0.7371765550789027,7
